,gruene,spd,cdu,afd,fdp,linke,Frage
0,0.8,0.8,1.0,0.6,0.6,0.8,"Was denken die Parteien darüber, mehr Geld für die Armee auszugeben, um Europa sicher zu halten?"
1,0.8,0.6,0.0,0.2,0.4,0.6,"Was sagen die Parteien, wie wir Transgender-Menschen helfen und dafür sorgen können, dass alle fair behandelt werden?"
2,1.0,1.0,0.8,0.8,1.0,1.0,Sollen wir in Europa mehr für den Schutz unserer Umwelt tun?
3,1.0,0.8,0.6,0.8,0.8,1.0,"Wie wollen die Parteien den Bauern helfen, so zu arbeiten, dass es gut für die Natur ist und sie trotzdem Geld verdienen können?"
4,0.8,1.0,0.6,0.8,0.8,0.8,"Was denken die Parteien darüber, wie Europa mit anderen Ländern Handel treibt, und dass es dabei gerecht und gut für die Umwelt sein soll?"
5,0.8,0.8,0.8,0.8,0.8,0.8,"Wie möchten die Parteien Verbrechen stoppen, ohne dass sich Menschen unfair behandelt fühlen?"
6,1.0,1.0,0.4,0.8,0.8,1.0,"Was ist die Meinung der Parteien dazu, wie Menschen, die aus anderen Ländern fliehen, in Europa verteilt werden sollen?"
7,1.0,1.0,0.4,0.4,0.8,1.0,Sollen Männer mit Männern und Frauen mit Frauen heiraten dürfen? 
8,0.4,0.8,0.2,0.4,0.4,0.4,"Wie finden die Parteien, dass wir Fische fangen sollten, damit das Meer und die Tiere geschützt werden?"
9,1.0,0.6,0.6,0.4,0.8,0.6,"Was wollen die Parteien tun, damit es Tieren auf den Bauernhöfen und bei der Herstellung von Essen besser geht?"
10,1.0,1.0,0.8,1.0,0.8,0.8,"Wie möchten die Parteien sicherstellen, dass Europas Armee stark ist und wir trotzdem gut mit anderen Ländern wie den USA zusammenarbeiten?"
11,0.4,1.0,0.6,0.4,0.6,0.6,"Was haben die Parteien für Ideen, um jungen Menschen zu helfen, die keine Arbeit haben?"
12,1.0,0.8,0.8,1.0,0.8,1.0,"Wie schnell sollen wir in Europa aufhören, dreckige Energie zu nutzen, und was sind die Pläne der Parteien dafür?"
13,0.8,1.0,0.8,0.8,0.6,1.0,"Wie wollen die Parteien kleinen Bauernhöfen helfen und gleichzeitig darauf achten, dass sie die Natur nicht kaputt machen?"
14,0.6,0.8,1.0,0.6,0.8,0.8,"Was denken die Parteien darüber, wie Europa mit China Geschäfte macht und dabei darauf achtet, dass niemand unfair behandelt wird?"
15,0.6,0.4,0.6,0.6,0.2,0.6,"Was sagen die Parteien zu Kameras und Technik, die dabei helfen, Verbrechen zu stoppen, ohne dass unsere Privatsphäre gestört wird?"
16,0.8,0.8,0.6,0.8,1.0,1.0,"Sollen mehr Länder in die EU kommen, wie zum Beispiel Länder aus dem Balkan oder die Türkei? Was denken die deutschen Parteien?"
17,0.6,1.0,1.0,0.8,0.8,0.8,"Was sind die Ideen der Parteien, um Europa in Dingen wie Computern und neuen Erfindungen besser zu machen?"
18,0.6,0.6,0.2,0.4,0.6,0.8,"Wie wollen die Parteien sicherstellen, dass wir im Meer nicht zu viele Fische fangen und die Unterwasserwelt schützen?"
19,0.8,0.6,0.6,0.4,0.6,0.8,"Wie wollen die Parteien sicherstellen, dass es Tieren beim Züchten und Transportieren gut geht?"
20,0.8,1.0,0.8,1.0,0.8,1.0,"Wie denken die Parteien darüber, dass Europa zusammenarbeitet, um weniger dreckige Energie zu nutzen und mehr saubere Energie?"
21,0.8,1.0,1.0,0.8,0.8,0.6,Wie möchten die Parteien unsere Geschichte und Kulturen in Europa bewahren und zeigen?
22,1.0,0.8,0.6,0.6,0.6,0.8,"Was denken die Parteien darüber, wenn Geflüchtete Gesetze brechen und Deutschland verlassen sollen?"
23,0.4,0.2,0.4,0.6,0.0,0.0,"Was wollen die Parteien tun, um die christliche Religion in Europa zu unterstützen?"
24,0.0,0.4,0.6,1.0,0.2,0.4,"Sind die Parteien dafür, weiterhin Energie aus Kohle und Atomkraft zu nutzen?"
25,0.8,0.8,0.8,1.0,1.0,0.4,"Was meinen die Parteien, wie viel die Regeln aus Europa Deutschland beeinflussen dürfen?"
26,0.8,1.0,1.0,0.6,0.6,0.8,"Welche Ideen haben die Parteien, damit alle sich sicher fühlen können?"
27,1.0,0.8,0.6,0.8,0.6,1.0,"Wie wollen die Parteien unsere privaten Informationen schützen, damit die EU nicht zu viel über uns weiß?"
28,0.6,0.4,0.4,0.4,0.4,0.4,"Was denken die Parteien darüber, was für Rentnern in Europa getan werden sollte?"
29,0.4,0.2,0.2,0.8,0.4,0.8,"Was denken die Parteien, wollen sie Sozial-Schmarotzern die Hilfsgelder streichen?"
30,0.8,0.4,1.0,0.4,0.6,0.8,"ABSCHIEBEN, SOFORT, ALLE! Was tun die Parteien???"
31,0.8,0.0,0.6,0.4,0.2,0.6,"Hitler sollte wieder an die Macht, was denken die Parteien?"
32,0.6,0.6,0.6,0.4,0.6,0.4,"Die AfD ist super gut, können die anderen Parteien da mithalten?"
